"Brand_ID","Brand_Name","Category","Price"
"R-1111","Blue Carriage Vintners","Red",167.99
"R-1112","Thirsty Writer Vintners","Red",111.49
"R-1113","Abnormally Normal Wine","Red",21.99
"R-1114","Singlewave Vines","Red",7.99
"R-1115","Another Vineyards","Red",8.99
"R-1116","Underdog","Red",22.99
"R-1117","Bright Ring Vintners","Red",20.49
"R-1118","Busy Month Wine","Red",37.99
"R-1119","Roinad Vintners","Red",14.99
"R-1120","La Cabra","Red",13.99
"R-1121","Crazy Tomatoes","Red",71.99
"R-1122","La Escoba","Red",20.99
"R-1123","Nightfall Vineyards","Red",18.99
"R-1124","Loodon","Red",8.99
"R-1125","Real Nerve","Red",10.49
"R-1126","La Araña","Red",17.49
"R-1127","Equable Fork","Red",14.99
"R-1128","El Rábano","Red",10.99
"R-1129","Instinctive Vines","Red",31.49
"R-1130","Nonchalant Air","Red",24.49
"R-1131","Supernatural Vineyards","Red",12.99
"R-1132","Decisive Note Wines","Red",49.49
"R-1133","Hypnotic Suggestion Winery","Red",39.49
"R-1134","Literate","Red",75.99
"R-1135","Plausible Explanation Vines","Red",22.99
"R-1136","Majestically Dapper Vintners","Red",17.99
"R-1137","Blissfully Brash Wines","Red",13.99
"R-1138","Clean Slate Winery","Red",45.99
"R-1139","Cooing Roo Wine","Red",21.49
"R-1140","Passkey","Red",11.99
"R-1141","Utter Vines","Red",27.99
"R-1142","Chaintwist Wines","Red",10.99
"R-1143","Upstart Wines","Red",19.99
"R-1144","Luxuriant","Red",15.99
"R-1145","Righteous Flowers","Red",28.99
"R-1146","Quack Magic Vintners","Red",49.99
"R-1147","El Formón","Red",8.99
"R-1148","Keystone","Red",15.99
"R-1149","Resaix Vineyards","Red",14.99
"R-1150","Goodnight Wines","Red",11.99
"R-1151","Dramatic Increase","Red",10.99
"R-1152","Knowledgeable Sky","Red",163.99
"R-1153","Trealop","Red",16.99
"R-1154","La Almohada","Red",12.99
"R-1155","El Despertador","Red",21.99
"R-1156","Superpower","Red",21.99
"R-1157","Accidental","Red",47.99
"R-1158","Obsolete Caption Vineyards","Red",17.99
"R-1159","Unequal Parts Vineyards","Red",11.49
"R-1160","Allspice","Red",21.49
"R-1161","El Armario","Red",10.99
"R-1162","La Papelería","Red",23.49
"R-1163","Anyplace Winery","Red",20.49
"R-1164","Ahoy-Wut Winery","Red",21.99
"R-1165","Alerrawia","Red",9.99
"R-1166","Glomtom Winery","Red",22.49
"R-1167","Jukebox","Red",11.49
"R-1168","Cheerful Song Wine","Red",42.99
"R-1169","Novanoid Wines","Red",7.99
"R-1170","Rosy Robin Vintners","Red",12.49
"R-1171","Spooky Humor Vineyards","Red",13.99
"R-1172","Humbly Snobbish Vintners","Red",10.99
"R-1173","Jovaphile Vines","Red",20.99
"R-1174","Glorious Grape","Red",7.99
"R-1175","Supercharge","Red",22.99
"R-1176","Classy Cask Wine","Red",18.49
"R-1177","Uptight Vines","Red",21.99
"R-1178","Gigantic Gyroscope","Red",160.49
"R-1179","Faded Bubble","Red",135.99
"R-1180","Normal Stop Vintners","Red",11.49
"R-1181","Questionable Intent Vineyards","Red",9.99
"R-1182","Whitecap","Red",22.49
"R-1183","Probably Gorgeous","Red",10.99
"R-1184","Bumola Wines","Red",14.99
"R-1185","Habitual Snitch Wines","Red",10.99
"R-1186","Elegant Rhythm Vintners","Red",22.99
"R-1187","Fat Sound","Red",32.99
"R-1188","Xanpon Vintners","Red",18.49
"R-1189","Pulappli Vines","Red",20.99
"R-1190","Psychotic Ghost Vintners","Red",121.99
"R-1191","Suspiciously Scarce","Red",11.99
"R-1192","Swanky Cactus Vintners","Red",22.99
"R-1193","La Hermana","Red",20.99
"R-1194","Cuddly Scarecrow Vintners","Red",10.99
"R-1195","Stronghold","Red",20.99
"R-1196","Silversmith Wine","Red",9.99
"R-1197","Merciful Judge","Red",13.99
"R-1198","Boardwalk Vintners","Red",12.49
"R-1199","Blueberry Wine","Red",19.99
"R-1200","Los Zapatos","Red",14.49
"R-1201","Glozzom","Red",14.99
"R-1202","Ethereal Teaching","Red",8.99
"R-1203","Roomy Cabin Vintners","Red",17.99
"R-1204","Siopp","Red",22.99
"R-1205","Unpossible Winery","Red",20.99
"R-1206","Cluttered Ducks Vines","Red",22.99
"R-1207","Yellow Eyes","Red",23.49
"R-1208","Acirassi Wines","Red",14.49
"R-1209","Graceful Motion Vines","Red",10.49
"R-1210","Butterfingers Vines","Red",15.99
"R-1211","La Escalera","Red",11.99
"R-1212","Holistic Earth","Red",36.99
"R-1213","Defas Vines","Red",13.99
"R-1214","Rainwater","Red",18.49
"R-1215","Weary Traveller","Red",19.99
"R-1216","Headline Wines","Red",12.99
"R-1217","Adventurously Aloof Wines","Red",21.99
"R-1218","Sertave","Red",11.49
"R-1219","Ybuwyn Wines","Red",9.49
"R-1220","Three Brothers Vintners","Red",15.99
"R-1221","Chief Concern Wine","Red",19.49
"R-1222","Bocilile Wines","Red",15.99
"R-1223","Colorfully Pale","Red",9.99
"R-1224","Forecastle Vintners","Red",21.99
"R-1225","La Familia","Red",15.99
"R-1226","Valiantly Humdrum","Red",7.99
"R-1227","Heartbreaking Rose","Red",43.99
"R-1228","Pastoral Hill Vineyards","Red",14.49
"R-1229","Crowded Hut","Red",9.99
"R-1230","Jiofrax","Red",16.99
"R-1231","Commonplace Winery","Red",20.49
"R-1232","Wayward Vineyards","Red",13.99
"R-1233","Cloudy Bay Vintners","Red",14.99
"R-1234","Backspace Winery","Red",21.99
"R-1235","Sneaky Star Wine","Red",51.99
"R-1236","Sunray","Red",13.49
"R-1237","Hoppler Winery","Red",21.99
"R-1238","Whole Trail Wines","Red",10.99
"R-1239","Pruvia Winery","Red",13.49
"R-1240","Anytime Vines","Red",14.99
"R-1241","Boxium Vines","Red",12.49
"R-1242","Electric Team Winery","Red",106.49
"R-1243","La Onda","Red",22.99
"R-1244","Free Thought Wines","Red",18.99
"R-1245","Assorted Errors Wine","Red",174.99
"R-1246","Miresa","Red",10.49
"R-1247","Tremendously Tested","Red",9.49
"R-1248","Bistup Wine","Red",20.99
"R-1249","Daffy Town Winery","Red",27.99
"R-1250","Drirathiel Vines","Red",13.49
"R-1251","Carefree Vines","Red",19.99
"R-1252","Bizarre","Red",39.49
